Neutrino,ztfid,iau_name,in_gcn,classif_code,classif,notes,max_brightness,max_range,catmatch,dist
IC220624A,ZTF22aaparxg,AT2022nit,1,,SN Ia,"WISE G-type source, we took Keck spectrum",20.3 (r),0.6 (g),WISEA J144950.63+412225.6,0.01
IC220822A,ZTF18aashiai,AT2020onj,0,1,AGN Variability,"Could be star, anyway no flaring",19.7 (g),0.7 (g),,
IC220822A,ZTF18abmssay,AT2019lku,0,,Star,Variable star?,16.6 (g),3.0 (r),,
IC220822A,ZTF18admicap,,0,,Artifact,Duplicate of ZTF18abmssay,16.6 (g),2.5 (r),,
IC220822A,ZTF19aauzqsc,,0,1,AGN Variability,"likely QSO, no significant temporal evolution",19.8 (r),1.0 (r),WISEA J181010.89+221949.4,0.3 arcsec
IC220822A,ZTF22aaonqcc,SN2022mzb,0,,SN Ia,,18.5 (r),2.8 (g),,
IC220822A,ZTF22aarmiqk,AT2022saw,1,,SN Ia,"we took a spectrum (prev: hostless, previous detection / SN -> FP lc strongly suggests so)",19.9 (g),0.2 (g),,
IC220822A,ZTF22aarvynq,,0,,Star,"likely varstar, sgscore=0.73",20.3 (r),0.7 (r),,
IC220822A,ZTF22aayzdld,,0,1,AGN Variability,"likely QSO, no significant temporal evolution",20.1 (r),0.8 (g),WISEA J180358.21+204251.4,0.05 arcsec
IC220822A,ZTF22abcmevn,,0,,Star,"likely varstar, sgscore=0.86",20.5 (r),0.3 (r),,
IC220822A,ZTF22abcmfsn,,0,,Star,high-ish sgscore (0.53),20.7 (r),0.6 (r),WISEA J181150.36+203810.3,0.01 arcsec
IC220822A,ZTF22abcmgkl,,0,,,one previous detection (~20 days before),21.2 (g),0.6 (g),,
IC220822A,ZTF22abcmhdw,,0,,,"not a star, no previous detections, W1-W2 = 0.5",21.1 (r),,WISEA J181830.17+220620.7,0.02 arcsec
IC220822A,ZTF22abcmorl,AT2021acdf,0,,,"not a star, no previous detections",21.3 (r),0.0 (r),,
IC220822A,ZTF22abcmoro,,0,,Star,"SDSS star-like morphology, PS1 also says so",20.7 (r),,,
IC220907A,ZTF18aatkvyc,,0,1,AGN Variability,"Milliquas: AX-type source, no significant flare",18.9 (i),1.8 (g),SDSS J145318.67+451329.,0.22 arcsec
IC220907A,ZTF18abnvqul,,0,1,AGN Variability,"Milliquas: QX-type source, no flaring",19.0 (g),1.8 (g),SDSS J145607.79+453034.,0.46 arcsec
IC220907A,ZTF22aatwsqt,AT2022oyn,1,,SN Ia,"looks SN-y, classified by us",19.4 (r),1.4 (r),,
IC221216A,ZTF19aacpnob,,0,,G-type source,"galaxy, no temporal evolution",15.8,2.8,NGC 0137,0.018
IC221216A,ZTF19abycviw,,0,0,Unclassified,artifact,19.7,0.1,,
IC221223A,ZTF22abdmfpw,,0,,QSO,no significant flare,,,,
